Stage1,Stage2,Stage3,Stage4,Stage5,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Ileak,MaxI,EndTime
47,1,1,328,33,5,410,2.048e-12,0.0404908,0.0014,0.0014,0.27928459999999994,0.0285936,1.89e-06,2.743e-03,8.659e-10
1,1,185,109,114,5,410,2.048e-12,0.0014,0.0014,0.15776320000000002,0.09317840000000001,0.09742740000000001,1.89e-06,3.278e-03,8.543e-10
2,18,1,165,224,5,410,2.048e-12,0.0022498,0.015846600000000002,0.0014,0.1407672,0.19090540000000003,1.89e-06,2.928e-03,8.788e-10
2,29,177,1,201,5,410,2.048e-12,0.0022498,0.0251944,0.1509648,0.0014,0.17136,1.89e-06,2.877e-03,8.443e-10
1,41,19,348,1,5,410,2.048e-12,0.0014,0.035392,0.0166964,0.2962806,0.0014,1.89e-06,2.675e-03,8.807e-10
1,21,354,2,32,5,410,2.048e-12,0.0014,0.018396,0.30137939999999996,0.0022498,0.027743800000000002,1.89e-06,3.008e-03,8.937e-10
200,32,1,1,176,5,410,2.048e-12,0.1705102,0.027743800000000002,0.0014,0.0014,0.150115,1.89e-06,3.137e-03,7.947e-10
333,1,2,31,43,5,410,2.048e-12,0.2835336,0.0014,0.0022498,0.026893999999999998,0.0370916,1.89e-06,3.101e-03,8.332e-10
2,1,272,112,23,5,410,2.048e-12,0.0022498,0.0014,0.23169580000000004,0.0957278,0.020095599999999998,1.89e-06,3.314e-03,8.801e-10
339,4,2,1,64,5,410,2.048e-12,0.28863239999999996,0.0039494,0.0022498,0.0014,0.0549374,1.89e-06,3.061e-03,8.370e-10
2,205,19,183,1,5,410,2.048e-12,0.0022498,0.1747592,0.0166964,0.15606360000000002,0.0014,1.89e-06,3.037e-03,8.274e-10
240,54,1,114,1,5,410,2.048e-12,0.20450220000000002,0.0464394,0.0014,0.09742740000000001,0.0014,1.89e-06,3.281e-03,7.954e-10
1,129,143,136,1,5,410,2.048e-12,0.0014,0.1101744,0.1220716,0.116123,0.0014,1.89e-06,3.153e-03,8.093e-10
1,18,277,112,2,5,410,2.048e-12,0.0014,0.015846600000000002,0.2359448,0.0957278,0.0022498,1.89e-06,3.183e-03,8.670e-10
77,231,1,1,100,5,410,2.048e-12,0.06598480000000001,0.19685400000000003,0.0014,0.0014,0.08553020000000001,1.89e-06,2.936e-03,7.937e-10
1,1,213,88,107,5,410,2.048e-12,0.0014,0.0014,0.1815576,0.0753326,0.09147880000000001,1.89e-06,3.308e-03,8.638e-10
2,1,103,285,19,5,410,2.048e-12,0.0022498,0.0014,0.08807960000000001,0.24274320000000002,0.0166964,1.89e-06,2.853e-03,8.663e-10
