Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
662,1,1,1,24,1,240,7,930,2.1999999999999998e-11,0.5631178,0.0014,0.0014,0.0014,0.0209454,0.0014,0.20450220000000002,2.3709999999999998e-05,1.677e-02,2.069e-09
37,400,1,1,1,1,489,7,930,2.1999999999999998e-11,0.0319928,0.3404702,0.0014,0.0014,0.0014,0.0014,0.4161024,2.3709999999999998e-05,1.535e-02,2.078e-09
1,26,1,597,1,1,303,7,930,2.1999999999999998e-11,0.0014,0.022645,0.0014,0.5078808,0.0014,0.0014,0.2580396,2.3709999999999998e-05,1.699e-02,2.134e-09
269,612,1,1,1,1,45,7,930,2.1999999999999998e-11,0.2291464,0.5206278,0.0014,0.0014,0.0014,0.0014,0.0387912,2.3709999999999998e-05,1.614e-02,2.004e-09
1,1,765,8,1,1,153,7,930,2.1999999999999998e-11,0.0014,0.0014,0.6506472,0.007348599999999999,0.0014,0.0014,0.1305696,2.3709999999999998e-05,1.627e-02,2.176e-09
1,1,842,1,79,5,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.7160818,0.0014,0.0676844,0.0047992,0.0014,2.3709999999999998e-05,1.522e-02,2.219e-09
1,1,423,1,31,1,472,7,930,2.1999999999999998e-11,0.0014,0.0014,0.36001559999999994,0.0014,0.026893999999999998,0.0014,0.4016558,2.3709999999999998e-05,1.605e-02,2.103e-09
1,1,1,1,538,387,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.0014,0.4577426,0.3294228,0.0014,2.3709999999999998e-05,1.734e-02,2.143e-09
31,885,1,1,10,1,1,7,930,2.1999999999999998e-11,0.026893999999999998,0.7526232,0.0014,0.0014,0.0090482,0.0014,0.0014,2.3709999999999998e-05,1.454e-02,2.214e-09
362,1,544,1,1,20,1,7,930,2.1999999999999998e-11,0.3081778,0.0014,0.46284139999999996,0.0014,0.0014,0.017546199999999998,0.0014,2.3709999999999998e-05,1.629e-02,2.003e-09
1,1,37,1,710,179,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0319928,0.0014,0.6039082,0.1526644,0.0014,2.3709999999999998e-05,1.627e-02,2.191e-09
1,378,1,1,1,3,545,7,930,2.1999999999999998e-11,0.0014,0.32177459999999997,0.0014,0.0014,0.0014,0.0030995999999999997,0.46369119999999997,2.3709999999999998e-05,1.522e-02,2.112e-09
1,1,1,731,1,150,45,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.621754,0.0014,0.1280202,0.0387912,2.3709999999999998e-05,1.650e-02,2.174e-09
193,1,1,1,1,7,726,7,930,2.1999999999999998e-11,0.1645616,0.0014,0.0014,0.0014,0.0014,0.006498799999999999,0.617505,2.3709999999999998e-05,1.402e-02,2.205e-09
351,1,1,1,1,43,532,7,930,2.1999999999999998e-11,0.29883,0.0014,0.0014,0.0014,0.0014,0.0370916,0.4526438,2.3709999999999998e-05,1.492e-02,2.071e-09
1,780,1,1,117,29,1,7,930,2.1999999999999998e-11,0.0014,0.6633941999999999,0.0014,0.0014,0.09997680000000002,0.0251944,0.0014,2.3709999999999998e-05,1.605e-02,2.139e-09
1,463,426,1,1,37,1,7,930,2.1999999999999998e-11,0.0014,0.39400759999999996,0.362565,0.0014,0.0014,0.0319928,0.0014,2.3709999999999998e-05,1.754e-02,2.006e-09
44,1,642,1,240,1,1,7,930,2.1999999999999998e-11,0.0379414,0.0014,0.5461218,0.0014,0.20450220000000002,0.0014,0.0014,2.3709999999999998e-05,1.689e-02,2.084e-09
