Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
103,4,93,3,200,1e-12,0.08807960000000001,0.0039494,0.07958160000000002,6.800000000000001e-07,1.637e-03,7.316e-10
95,62,43,3,200,1e-12,0.08128120000000001,0.0532378,0.0370916,6.800000000000001e-07,1.773e-03,7.240e-10
152,45,3,3,200,1e-12,0.1297198,0.0387912,0.0030995999999999997,6.800000000000001e-07,1.828e-03,7.325e-10
8,156,36,3,200,1e-12,0.007348599999999999,0.13311900000000002,0.031142999999999997,6.800000000000001e-07,1.778e-03,7.661e-10
29,46,125,3,200,1e-12,0.0251944,0.039640999999999996,0.10677520000000001,6.800000000000001e-07,1.584e-03,7.386e-10
22,120,58,3,200,1e-12,0.0192458,0.10252620000000001,0.049838600000000004,6.800000000000001e-07,1.710e-03,7.442e-10
75,30,95,3,200,1e-12,0.0642852,0.0260442,0.08128120000000001,6.800000000000001e-07,1.680e-03,7.234e-10
1,187,12,3,200,1e-12,0.0014,0.15946280000000002,0.0107478,6.800000000000001e-07,1.770e-03,7.875e-10
86,101,13,3,200,1e-12,0.07363300000000002,0.08638000000000001,0.0115976,6.800000000000001e-07,1.737e-03,7.191e-10
175,6,19,3,200,1e-12,0.1492652,0.0056489999999999995,0.0166964,6.800000000000001e-07,1.748e-03,7.468e-10
97,98,5,3,200,1e-12,0.08298080000000001,0.0838306,0.0047992,6.800000000000001e-07,1.758e-03,7.264e-10
129,6,65,3,200,1e-12,0.1101744,0.0056489999999999995,0.0557872,6.800000000000001e-07,1.703e-03,7.348e-10
23,8,169,3,200,1e-12,0.020095599999999998,0.007348599999999999,0.1441664,6.800000000000001e-07,1.573e-03,7.700e-10
14,9,177,3,200,1e-12,0.0124474,0.0081984,0.1509648,6.800000000000001e-07,1.614e-03,7.828e-10
51,30,119,3,200,1e-12,0.04389,0.0260442,0.1016764,6.800000000000001e-07,1.568e-03,7.301e-10
71,97,32,3,200,1e-12,0.060885999999999996,0.08298080000000001,0.027743800000000002,6.800000000000001e-07,1.715e-03,7.239e-10
8,151,41,3,200,1e-12,0.007348599999999999,0.12887,0.035392,6.800000000000001e-07,1.780e-03,7.606e-10
48,16,136,3,200,1e-12,0.041340600000000005,0.014147,0.116123,6.800000000000001e-07,1.548e-03,7.356e-10
1,78,121,3,200,1e-12,0.0014,0.06683460000000001,0.10337600000000001,6.800000000000001e-07,1.709e-03,7.582e-10
143,8,49,3,200,1e-12,0.1220716,0.007348599999999999,0.042190399999999996,6.800000000000001e-07,1.731e-03,7.378e-10
169,7,24,3,200,1e-12,0.1441664,0.006498799999999999,0.0209454,6.800000000000001e-07,1.747e-03,7.456e-10
17,76,107,3,200,1e-12,0.014996800000000001,0.06513500000000001,0.09147880000000001,6.800000000000001e-07,1.657e-03,7.425e-10
64,116,20,3,200,1e-12,0.0549374,0.099127,0.017546199999999998,6.800000000000001e-07,1.689e-03,7.261e-10
54,121,25,3,200,1e-12,0.0464394,0.10337600000000001,0.021795199999999997,6.800000000000001e-07,1.671e-03,7.281e-10
22,54,124,3,200,1e-12,0.0192458,0.0464394,0.10592540000000002,6.800000000000001e-07,1.600e-03,7.398e-10
80,86,34,3,200,1e-12,0.06853420000000002,0.07363300000000002,0.029443399999999998,6.800000000000001e-07,1.738e-03,7.190e-10
39,48,113,3,200,1e-12,0.0336924,0.041340600000000005,0.0965776,6.800000000000001e-07,1.588e-03,7.311e-10
66,81,53,3,200,1e-12,0.056637,0.069384,0.0455896,6.800000000000001e-07,1.709e-03,7.176e-10
43,155,2,3,200,1e-12,0.0370916,0.1322692,0.0022498,6.800000000000001e-07,1.643e-03,7.366e-10
86,29,85,3,200,1e-12,0.07363300000000002,0.0251944,0.0727832,6.800000000000001e-07,1.714e-03,7.236e-10
157,13,30,3,200,1e-12,0.13396880000000003,0.0115976,0.0260442,6.800000000000001e-07,1.766e-03,7.410e-10
113,29,58,3,200,1e-12,0.0965776,0.0251944,0.049838600000000004,6.800000000000001e-07,1.775e-03,7.278e-10
79,17,104,3,200,1e-12,0.0676844,0.014996800000000001,0.0889294,6.800000000000001e-07,1.635e-03,7.230e-10
43,121,36,3,200,1e-12,0.0370916,0.10337600000000001,0.031142999999999997,6.800000000000001e-07,1.667e-03,7.307e-10
46,112,42,3,200,1e-12,0.039640999999999996,0.0957278,0.0362418,6.800000000000001e-07,1.665e-03,7.261e-10
34,103,63,3,200,1e-12,0.029443399999999998,0.08807960000000001,0.0540876,6.800000000000001e-07,1.666e-03,7.307e-10
68,66,66,3,200,1e-12,0.058336599999999995,0.056637,0.056637,6.800000000000001e-07,1.713e-03,7.221e-10
5,72,123,3,200,1e-12,0.0047992,0.0617358,0.1050756,6.800000000000001e-07,1.680e-03,7.548e-10
