Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
108,1,1,3,110,1e-12,0.09232860000000001,0.0014,0.0014,0.68e-6,1.629e-03,9.555e-10
1,108,1,3,110,1e-12,0.0014,0.09232860000000001,0.0014,0.68e-6,1.628e-03,9.933e-10
1,1,108,3,110,1e-12,0.0014,0.0014,0.09232860000000001,0.68e-6,1.622e-03,1.031e-09
2,107,1,3,110,1e-12,0.0022498,0.09147880000000001,0.0014,0.68e-6,1.626e-03,9.912e-10
2,1,107,3,110,1e-12,0.0022498,0.0014,0.09147880000000001,0.68e-6,1.616e-03,1.029e-09
1,107,2,3,110,1e-12,0.0014,0.09147880000000001,0.0022498,0.68e-6,1.625e-03,9.957e-10
107,1,2,3,110,1e-12,0.09147880000000001,0.0014,0.0022498,0.68e-6,1.630e-03,9.582e-10
1,2,107,3,110,1e-12,0.0014,0.0022498,0.09147880000000001,0.68e-6,1.622e-03,1.027e-09
107,2,1,3,110,1e-12,0.09147880000000001,0.0022498,0.0014,0.68e-6,1.631e-03,9.577e-10
3,1,106,3,110,1e-12,0.0030995999999999997,0.0014,0.090629,0.68e-6,1.611e-03,1.026e-09
106,1,3,3,110,1e-12,0.090629,0.0014,0.0030995999999999997,0.68e-6,1.631e-03,9.580e-10
106,3,1,3,110,1e-12,0.090629,0.0030995999999999997,0.0014,0.68e-6,1.634e-03,9.555e-10
1,106,3,3,110,1e-12,0.0014,0.090629,0.0030995999999999997,0.68e-6,1.634e-03,9.904e-10
1,3,106,3,110,1e-12,0.0014,0.0030995999999999997,0.090629,0.68e-6,1.620e-03,1.026e-09
3,106,1,3,110,1e-12,0.0030995999999999997,0.090629,0.0014,0.68e-6,1.617e-03,9.924e-10
105,4,1,3,110,1e-12,0.0897792,0.0039494,0.0014,0.68e-6,1.638e-03,9.552e-10
1,105,4,3,110,1e-12,0.0014,0.0897792,0.0039494,0.68e-6,1.638e-03,9.886e-10
4,105,1,3,110,1e-12,0.0039494,0.0897792,0.0014,0.68e-6,1.622e-03,9.889e-10
4,1,105,3,110,1e-12,0.0039494,0.0014,0.0897792,0.68e-6,1.609e-03,1.023e-09
1,4,105,3,110,1e-12,0.0014,0.0039494,0.0897792,0.68e-6,1.601e-03,1.025e-09
105,1,4,3,110,1e-12,0.0897792,0.0014,0.0039494,0.68e-6,1.632e-03,9.566e-10
1,5,104,3,110,1e-12,0.0014,0.0047992,0.0889294,0.68e-6,1.615e-03,1.023e-09
5,1,104,3,110,1e-12,0.0047992,0.0014,0.0889294,0.68e-6,1.605e-03,1.020e-09
1,104,5,3,110,1e-12,0.0014,0.0889294,0.0047992,0.68e-6,1.643e-03,9.938e-10
104,1,5,3,110,1e-12,0.0889294,0.0014,0.0047992,0.68e-6,1.632e-03,9.567e-10
104,5,1,3,110,1e-12,0.0889294,0.0047992,0.0014,0.68e-6,1.642e-03,9.566e-10
5,104,1,3,110,1e-12,0.0047992,0.0889294,0.0014,0.68e-6,1.617e-03,9.894e-10
103,1,6,3,110,1e-12,0.08807960000000001,0.0014,0.0056489999999999995,0.68e-6,1.632e-03,9.544e-10
6,103,1,3,110,1e-12,0.0056489999999999995,0.08807960000000001,0.0014,0.68e-6,1.618e-03,9.860e-10
6,1,103,3,110,1e-12,0.0056489999999999995,0.0014,0.08807960000000001,0.68e-6,1.602e-03,1.017e-09
1,6,103,3,110,1e-12,0.0014,0.0056489999999999995,0.08807960000000001,0.68e-6,1.614e-03,1.021e-09
1,103,6,3,110,1e-12,0.0014,0.08807960000000001,0.0056489999999999995,0.68e-6,1.647e-03,9.941e-10
103,6,1,3,110,1e-12,0.08807960000000001,0.0056489999999999995,0.0014,0.68e-6,1.646e-03,9.562e-10
102,1,7,3,110,1e-12,0.08722980000000001,0.0014,0.006498799999999999,0.68e-6,1.633e-03,9.490e-10
7,1,102,3,110,1e-12,0.006498799999999999,0.0014,0.08722980000000001,0.68e-6,1.595e-03,1.016e-09
1,102,7,3,110,1e-12,0.0014,0.08722980000000001,0.006498799999999999,0.68e-6,1.651e-03,9.901e-10
102,7,1,3,110,1e-12,0.08722980000000001,0.006498799999999999,0.0014,0.68e-6,1.650e-03,9.556e-10
1,7,102,3,110,1e-12,0.0014,0.006498799999999999,0.08722980000000001,0.68e-6,1.614e-03,1.018e-09
7,102,1,3,110,1e-12,0.006498799999999999,0.08722980000000001,0.0014,0.68e-6,1.616e-03,9.860e-10
1,101,8,3,110,1e-12,0.0014,0.08638000000000001,0.007348599999999999,0.68e-6,1.655e-03,9.884e-10
101,1,8,3,110,1e-12,0.08638000000000001,0.0014,0.007348599999999999,0.68e-6,1.632e-03,9.490e-10
1,8,101,3,110,1e-12,0.0014,0.007348599999999999,0.08638000000000001,0.68e-6,1.613e-03,1.015e-09
8,1,101,3,110,1e-12,0.007348599999999999,0.0014,0.08638000000000001,0.68e-6,1.580e-03,1.016e-09
8,101,1,3,110,1e-12,0.007348599999999999,0.08638000000000001,0.0014,0.68e-6,1.615e-03,9.784e-10
101,8,1,3,110,1e-12,0.08638000000000001,0.007348599999999999,0.0014,0.68e-6,1.654e-03,9.542e-10
9,100,1,3,110,1e-12,0.0081984,0.08553020000000001,0.0014,0.68e-6,1.614e-03,9.827e-10
1,9,100,3,110,1e-12,0.0014,0.0081984,0.08553020000000001,0.68e-6,1.603e-03,1.018e-09
100,1,9,3,110,1e-12,0.08553020000000001,0.0014,0.0081984,0.68e-6,1.632e-03,9.507e-10
100,9,1,3,110,1e-12,0.08553020000000001,0.0081984,0.0014,0.68e-6,1.658e-03,9.528e-10
1,100,9,3,110,1e-12,0.0014,0.08553020000000001,0.0081984,0.68e-6,1.659e-03,9.915e-10
9,1,100,3,110,1e-12,0.0081984,0.0014,0.08553020000000001,0.68e-6,1.577e-03,1.007e-09
99,1,10,3,110,1e-12,0.0846804,0.0014,0.0090482,0.68e-6,1.631e-03,9.519e-10
10,99,1,3,110,1e-12,0.0090482,0.0846804,0.0014,0.68e-6,1.613e-03,9.810e-10
10,1,99,3,110,1e-12,0.0090482,0.0014,0.0846804,0.68e-6,1.571e-03,1.009e-09
1,10,99,3,110,1e-12,0.0014,0.0090482,0.0846804,0.68e-6,1.591e-03,1.011e-09
1,99,10,3,110,1e-12,0.0014,0.0846804,0.0090482,0.68e-6,1.663e-03,9.906e-10
99,10,1,3,110,1e-12,0.0846804,0.0090482,0.0014,0.68e-6,1.662e-03,9.537e-10
98,1,11,3,110,1e-12,0.0838306,0.0014,0.009898,0.68e-6,1.632e-03,9.548e-10
98,11,1,3,110,1e-12,0.0838306,0.009898,0.0014,0.68e-6,1.666e-03,9.534e-10
1,11,98,3,110,1e-12,0.0014,0.009898,0.0838306,0.68e-6,1.597e-03,1.016e-09
11,1,98,3,110,1e-12,0.009898,0.0014,0.0838306,0.68e-6,1.567e-03,1.009e-09
1,98,11,3,110,1e-12,0.0014,0.0838306,0.009898,0.68e-6,1.667e-03,9.894e-10
11,98,1,3,110,1e-12,0.009898,0.0838306,0.0014,0.68e-6,1.611e-03,9.734e-10
97,1,12,3,110,1e-12,0.08298080000000001,0.0014,0.0107478,0.68e-6,1.630e-03,9.549e-10
1,97,12,3,110,1e-12,0.0014,0.08298080000000001,0.0107478,0.68e-6,1.670e-03,9.829e-10
12,97,1,3,110,1e-12,0.0107478,0.08298080000000001,0.0014,0.68e-6,1.610e-03,9.785e-10
12,1,97,3,110,1e-12,0.0107478,0.0014,0.08298080000000001,0.68e-6,1.568e-03,1.006e-09
1,12,97,3,110,1e-12,0.0014,0.0107478,0.08298080000000001,0.68e-6,1.607e-03,1.010e-09
97,12,1,3,110,1e-12,0.08298080000000001,0.0107478,0.0014,0.68e-6,1.670e-03,9.531e-10
1,13,96,3,110,1e-12,0.0014,0.0115976,0.082131,0.68e-6,1.592e-03,1.010e-09
96,1,13,3,110,1e-12,0.082131,0.0014,0.0115976,0.68e-6,1.630e-03,9.531e-10
96,13,1,3,110,1e-12,0.082131,0.0115976,0.0014,0.68e-6,1.673e-03,9.531e-10
13,1,96,3,110,1e-12,0.0115976,0.0014,0.082131,0.68e-6,1.566e-03,1.005e-09
1,96,13,3,110,1e-12,0.0014,0.082131,0.0115976,0.68e-6,1.675e-03,9.843e-10
13,96,1,3,110,1e-12,0.0115976,0.082131,0.0014,0.68e-6,1.609e-03,9.752e-10
95,1,14,3,110,1e-12,0.08128120000000001,0.0014,0.0124474,0.68e-6,1.629e-03,9.469e-10
14,95,1,3,110,1e-12,0.0124474,0.08128120000000001,0.0014,0.68e-6,1.608e-03,9.696e-10
1,95,14,3,110,1e-12,0.0014,0.08128120000000001,0.0124474,0.68e-6,1.678e-03,9.860e-10
14,1,95,3,110,1e-12,0.0124474,0.0014,0.08128120000000001,0.68e-6,1.569e-03,1.001e-09
95,14,1,3,110,1e-12,0.08128120000000001,0.0124474,0.0014,0.68e-6,1.676e-03,9.529e-10
1,14,95,3,110,1e-12,0.0014,0.0124474,0.08128120000000001,0.68e-6,1.596e-03,1.012e-09
1,94,15,3,110,1e-12,0.0014,0.08043140000000001,0.0132972,0.68e-6,1.681e-03,9.881e-10
15,1,94,3,110,1e-12,0.0132972,0.0014,0.08043140000000001,0.68e-6,1.566e-03,1.001e-09
1,15,94,3,110,1e-12,0.0014,0.0132972,0.08043140000000001,0.68e-6,1.594e-03,1.008e-09
94,1,15,3,110,1e-12,0.08043140000000001,0.0014,0.0132972,0.68e-6,1.628e-03,9.528e-10
94,15,1,3,110,1e-12,0.08043140000000001,0.0132972,0.0014,0.68e-6,1.679e-03,9.524e-10
15,94,1,3,110,1e-12,0.0132972,0.08043140000000001,0.0014,0.68e-6,1.609e-03,9.719e-10
16,1,93,3,110,1e-12,0.014147,0.0014,0.07958160000000002,0.68e-6,1.565e-03,9.970e-10
16,93,1,3,110,1e-12,0.014147,0.07958160000000002,0.0014,0.68e-6,1.609e-03,9.693e-10
1,93,16,3,110,1e-12,0.0014,0.07958160000000002,0.014147,0.68e-6,1.684e-03,9.898e-10
93,1,16,3,110,1e-12,0.07958160000000002,0.0014,0.014147,0.68e-6,1.626e-03,9.547e-10
1,16,93,3,110,1e-12,0.0014,0.014147,0.07958160000000002,0.68e-6,1.598e-03,1.009e-09
93,16,1,3,110,1e-12,0.07958160000000002,0.014147,0.0014,0.68e-6,1.682e-03,9.522e-10
17,1,92,3,110,1e-12,0.014996800000000001,0.0014,0.0787318,0.68e-6,1.562e-03,9.953e-10
1,17,92,3,110,1e-12,0.0014,0.014996800000000001,0.0787318,0.68e-6,1.600e-03,1.007e-09
92,1,17,3,110,1e-12,0.0787318,0.0014,0.014996800000000001,0.68e-6,1.625e-03,9.466e-10
92,17,1,3,110,1e-12,0.0787318,0.014996800000000001,0.0014,0.68e-6,1.684e-03,9.449e-10
1,92,17,3,110,1e-12,0.0014,0.0787318,0.014996800000000001,0.68e-6,1.687e-03,9.896e-10
17,92,1,3,110,1e-12,0.014996800000000001,0.0787318,0.0014,0.68e-6,1.608e-03,9.679e-10
