Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Slew8,Ileak,MaxI,EndTime
1,1,1,221,1,6,768,1,8,1000,2.8653e-11,0.0014,0.0014,0.0014,0.188356,0.0014,0.0056489999999999995,0.6531966,0.0014,2.61e-05,1.707e-02,2.504e-09
1,1,16,676,1,1,1,303,8,1000,2.8653e-11,0.0014,0.0014,0.014147,0.5750149999999999,0.0014,0.0014,0.0014,0.2580396,2.61e-05,1.963e-02,2.412e-09
1,1,57,1,1,38,1,900,8,1000,2.8653e-11,0.0014,0.0014,0.0489888,0.0014,0.0014,0.0328426,0.0014,0.7653702,2.61e-05,1.670e-02,2.657e-09
1,32,1,1,1,52,1,911,8,1000,2.8653e-11,0.0014,0.027743800000000002,0.0014,0.0014,0.0014,0.044739799999999996,0.0014,0.774718,2.61e-05,1.669e-02,2.675e-09
353,1,13,1,1,629,1,1,8,1000,2.8653e-11,0.30052959999999995,0.0014,0.0115976,0.0014,0.0014,0.5350744,0.0014,0.0014,2.61e-05,1.751e-02,2.353e-09
27,1,1,1,393,1,575,1,8,1000,2.8653e-11,0.0234948,0.0014,0.0014,0.0014,0.3345216,0.0014,0.4891852,0.0014,2.61e-05,1.862e-02,2.413e-09
1,14,315,1,1,666,1,1,8,1000,2.8653e-11,0.0014,0.0124474,0.26823719999999995,0.0014,0.0014,0.5665169999999999,0.0014,0.0014,2.61e-05,1.771e-02,2.403e-09
1,1,1,727,1,226,1,42,8,1000,2.8653e-11,0.0014,0.0014,0.0014,0.6183548,0.0014,0.19260500000000003,0.0014,0.0362418,2.61e-05,1.958e-02,2.407e-09
1,3,1,245,1,747,1,1,8,1000,2.8653e-11,0.0014,0.0030995999999999997,0.0014,0.20875120000000003,0.0014,0.6353508,0.0014,0.0014,2.61e-05,1.741e-02,2.466e-09
10,1,1,1,277,1,708,1,8,1000,2.8653e-11,0.0090482,0.0014,0.0014,0.0014,0.2359448,0.0014,0.6022086,0.0014,2.61e-05,1.763e-02,2.476e-09
12,1,1,1,1,1,309,674,8,1000,2.8653e-11,0.0107478,0.0014,0.0014,0.0014,0.0014,0.0014,0.2631384,0.5733153999999999,2.61e-05,1.811e-02,2.514e-09
1,1,35,1,1,553,1,407,8,1000,2.8653e-11,0.0014,0.0014,0.0302932,0.0014,0.0014,0.4704896,0.0014,0.34641879999999997,2.61e-05,1.976e-02,2.436e-09
1,21,1,1,1,289,1,685,8,1000,2.8653e-11,0.0014,0.018396,0.0014,0.0014,0.0014,0.2461424,0.0014,0.5826631999999999,2.61e-05,1.772e-02,2.492e-09
42,19,1,1,934,1,1,1,8,1000,2.8653e-11,0.0362418,0.0166964,0.0014,0.0014,0.7942634,0.0014,0.0014,0.0014,2.61e-05,1.663e-02,2.585e-09
759,31,1,1,1,205,1,1,8,1000,2.8653e-11,0.6455484,0.026893999999999998,0.0014,0.0014,0.0014,0.1747592,0.0014,0.0014,2.61e-05,1.930e-02,2.331e-09
10,902,83,1,1,1,1,1,8,1000,2.8653e-11,0.0090482,0.7670698,0.07108360000000001,0.0014,0.0014,0.0014,0.0014,0.0014,2.61e-05,1.732e-02,2.452e-09
1,1,1,1,1,404,560,31,8,1000,2.8653e-11,0.0014,0.0014,0.0014,0.0014,0.0014,0.3438694,0.4764382,0.026893999999999998,2.61e-05,1.916e-02,2.440e-09
1,636,1,40,319,1,1,1,8,1000,2.8653e-11,0.0014,0.541023,0.0014,0.0345422,0.2716364,0.0014,0.0014,0.0014,2.61e-05,1.992e-02,2.313e-09
1,1,1,1,292,1,24,679,8,1000,2.8653e-11,0.0014,0.0014,0.0014,0.0014,0.24869180000000002,0.0014,0.0209454,0.5775644,2.61e-05,1.762e-02,2.481e-09
689,1,1,1,294,1,1,12,8,1000,2.8653e-11,0.5860624,0.0014,0.0014,0.0014,0.2503914,0.0014,0.0014,0.0107478,2.61e-05,1.974e-02,2.302e-09
1,764,1,1,1,19,1,212,8,1000,2.8653e-11,0.0014,0.6497974,0.0014,0.0014,0.0014,0.0166964,0.0014,0.1807078,2.61e-05,1.926e-02,2.387e-09
1,1,671,1,300,1,24,1,8,1000,2.8653e-11,0.0014,0.0014,0.570766,0.0014,0.2554902,0.0014,0.0209454,0.0014,2.61e-05,1.996e-02,2.354e-09
1,1,1,520,447,28,1,1,8,1000,2.8653e-11,0.0014,0.0014,0.0014,0.4424462,0.3804108,0.0243446,0.0014,0.0014,2.61e-05,2.008e-02,2.351e-09
1,1,237,1,3,1,755,1,8,1000,2.8653e-11,0.0014,0.0014,0.2019528,0.0014,0.0030995999999999997,0.0014,0.6421492,0.0014,2.61e-05,1.699e-02,2.478e-09
1,1,85,34,1,876,1,1,8,1000,2.8653e-11,0.0014,0.0014,0.0727832,0.029443399999999998,0.0014,0.744975,0.0014,0.0014,2.61e-05,1.669e-02,2.564e-09
1,1,347,609,39,1,1,1,8,1000,2.8653e-11,0.0014,0.0014,0.2954308,0.5180784,0.0336924,0.0014,0.0014,0.0014,2.61e-05,1.891e-02,2.327e-09
1,20,1,1,1,1,874,101,8,1000,2.8653e-11,0.0014,0.017546199999999998,0.0014,0.0014,0.0014,0.0014,0.7432754,0.08638000000000001,2.61e-05,1.754e-02,2.615e-09
1,1,4,195,796,1,1,1,8,1000,2.8653e-11,0.0014,0.0014,0.0039494,0.1662612,0.676991,0.0014,0.0014,0.0014,2.61e-05,1.725e-02,2.472e-09
1,1,50,34,1,911,1,1,8,1000,2.8653e-11,0.0014,0.0014,0.0430402,0.029443399999999998,0.0014,0.774718,0.0014,0.0014,2.61e-05,1.665e-02,2.601e-09
469,1,1,1,5,521,1,1,8,1000,2.8653e-11,0.3991064,0.0014,0.0014,0.0014,0.0047992,0.443296,0.0014,0.0014,2.61e-05,1.829e-02,2.315e-09
