Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
1,37,1,226,234,1,6,500,2.7829999999999998e-12,0.0014,0.0319928,0.0014,0.19260500000000003,0.1994034,0.0014,3.0399999999999997e-06,3.746e-03,9.380e-10
85,127,285,1,1,1,6,500,2.7829999999999998e-12,0.0727832,0.10847480000000001,0.24274320000000002,0.0014,0.0014,0.0014,3.0399999999999997e-06,3.675e-03,8.464e-10
1,344,68,85,1,1,6,500,2.7829999999999998e-12,0.0014,0.2928814,0.058336599999999995,0.0727832,0.0014,0.0014,3.0399999999999997e-06,4.247e-03,9.182e-10
148,1,1,1,100,249,6,500,2.7829999999999998e-12,0.1263206,0.0014,0.0014,0.0014,0.08553020000000001,0.21215040000000002,3.0399999999999997e-06,3.423e-03,8.767e-10
60,410,1,1,27,1,6,500,2.7829999999999998e-12,0.0515382,0.34896819999999995,0.0014,0.0014,0.0234948,0.0014,3.0399999999999997e-06,3.566e-03,9.047e-10
300,1,150,47,1,1,6,500,2.7829999999999998e-12,0.2554902,0.0014,0.1280202,0.0404908,0.0014,0.0014,3.0399999999999997e-06,4.107e-03,8.778e-10
1,18,276,203,1,1,6,500,2.7829999999999998e-12,0.0014,0.015846600000000002,0.235095,0.1730596,0.0014,0.0014,3.0399999999999997e-06,4.031e-03,9.333e-10
156,1,279,1,62,1,6,500,2.7829999999999998e-12,0.13311900000000002,0.0014,0.23764440000000003,0.0014,0.0532378,0.0014,3.0399999999999997e-06,3.625e-03,8.640e-10
202,1,109,186,1,1,6,500,2.7829999999999998e-12,0.1722098,0.0014,0.09317840000000001,0.158613,0.0014,0.0014,3.0399999999999997e-06,4.019e-03,8.545e-10
1,1,248,239,10,1,6,500,2.7829999999999998e-12,0.0014,0.0014,0.2113006,0.2036524,0.0090482,0.0014,3.0399999999999997e-06,4.076e-03,9.369e-10
74,319,1,104,1,1,6,500,2.7829999999999998e-12,0.0634354,0.2716364,0.0014,0.0889294,0.0014,0.0014,3.0399999999999997e-06,3.652e-03,8.726e-10
1,1,144,1,242,111,6,500,2.7829999999999998e-12,0.0014,0.0014,0.12292140000000001,0.0014,0.2062018,0.094878,3.0399999999999997e-06,3.666e-03,9.349e-10
1,7,1,1,89,401,6,500,2.7829999999999998e-12,0.0014,0.006498799999999999,0.0014,0.0014,0.0761824,0.34132,3.0399999999999997e-06,3.419e-03,1.031e-09
436,1,11,50,1,1,6,500,2.7829999999999998e-12,0.371063,0.0014,0.009898,0.0430402,0.0014,0.0014,3.0399999999999997e-06,4.011e-03,9.255e-10
307,6,1,1,1,184,6,500,2.7829999999999998e-12,0.26143879999999997,0.0056489999999999995,0.0014,0.0014,0.0014,0.1569134,3.0399999999999997e-06,3.803e-03,8.913e-10
1,1,20,112,365,1,6,500,2.7829999999999998e-12,0.0014,0.0014,0.017546199999999998,0.0957278,0.3107272,0.0014,3.0399999999999997e-06,3.449e-03,9.666e-10
41,210,1,246,1,1,6,500,2.7829999999999998e-12,0.035392,0.17900820000000003,0.0014,0.209601,0.0014,0.0014,3.0399999999999997e-06,3.635e-03,8.731e-10
128,46,323,1,1,1,6,500,2.7829999999999998e-12,0.10932460000000001,0.039640999999999996,0.2750356,0.0014,0.0014,0.0014,3.0399999999999997e-06,3.563e-03,8.548e-10
308,161,1,28,1,1,6,500,2.7829999999999998e-12,0.2622886,0.137368,0.0014,0.0243446,0.0014,0.0014,3.0399999999999997e-06,4.267e-03,8.731e-10
368,1,1,1,78,51,6,500,2.7829999999999998e-12,0.31327659999999996,0.0014,0.0014,0.0014,0.06683460000000001,0.04389,3.0399999999999997e-06,3.812e-03,9.060e-10
98,1,118,1,1,281,6,500,2.7829999999999998e-12,0.0838306,0.0014,0.1008266,0.0014,0.0014,0.239344,3.0399999999999997e-06,3.620e-03,8.713e-10
