Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
5,39,51,17,21,12,6,145,2.783e-12,0.0047992,0.0336924,0.04389,0.014996800000000001,0.018396,0.0107478,3.04e-6,2.986e-03,1.472e-09
4,6,76,9,32,18,6,145,2.783e-12,0.0039494,0.0056489999999999995,0.06513500000000001,0.0081984,0.027743800000000002,0.015846600000000002,3.04e-6,3.026e-03,1.492e-09
83,6,12,6,2,36,6,145,2.783e-12,0.07108360000000001,0.0056489999999999995,0.0107478,0.0056489999999999995,0.0022498,0.031142999999999997,3.04e-6,2.922e-03,1.442e-09
13,9,26,6,63,28,6,145,2.783e-12,0.0115976,0.0081984,0.022645,0.0056489999999999995,0.0540876,0.0243446,3.04e-6,2.871e-03,1.471e-09
13,6,19,5,33,69,6,145,2.783e-12,0.0115976,0.0056489999999999995,0.0166964,0.0047992,0.0285936,0.0591864,3.04e-6,2.976e-03,1.473e-09
38,26,1,35,31,14,6,145,2.783e-12,0.0328426,0.022645,0.0014,0.0302932,0.026893999999999998,0.0124474,3.04e-6,2.874e-03,1.443e-09
90,13,11,1,20,10,6,145,2.783e-12,0.07703220000000001,0.0115976,0.009898,0.0014,0.017546199999999998,0.0090482,3.04e-6,2.875e-03,1.443e-09
10,50,9,7,33,36,6,145,2.783e-12,0.0090482,0.0430402,0.0081984,0.006498799999999999,0.0285936,0.031142999999999997,3.04e-6,2.813e-03,1.452e-09
12,3,12,5,62,51,6,145,2.783e-12,0.0107478,0.0030995999999999997,0.0107478,0.0047992,0.0532378,0.04389,3.04e-6,3.154e-03,1.464e-09
31,23,7,22,46,16,6,145,2.783e-12,0.026893999999999998,0.020095599999999998,0.006498799999999999,0.0192458,0.039640999999999996,0.014147,3.04e-6,2.865e-03,1.459e-09
4,64,12,37,3,25,6,145,2.783e-12,0.0039494,0.0549374,0.0107478,0.0319928,0.0030995999999999997,0.021795199999999997,3.04e-6,2.908e-03,1.468e-09
