Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
1,153,17,1,267,1,6,440,6.13e-12,0.0014,0.1305696,0.014996800000000001,0.0014,0.2274468,0.0014,6.57e-06,6.382e-03,1.398e-09
217,1,47,1,173,1,6,440,6.13e-12,0.18495680000000003,0.0014,0.0404908,0.0014,0.14756560000000002,0.0014,6.57e-06,6.615e-03,1.339e-09
9,2,1,185,242,1,6,440,6.13e-12,0.0081984,0.0022498,0.0014,0.15776320000000002,0.2062018,0.0014,6.57e-06,6.961e-03,1.432e-09
1,1,22,1,268,147,6,440,6.13e-12,0.0014,0.0014,0.0192458,0.0014,0.22829660000000002,0.12547080000000002,6.57e-06,7.236e-03,1.463e-09
1,1,1,27,118,292,6,440,6.13e-12,0.0014,0.0014,0.0014,0.0234948,0.1008266,0.24869180000000002,6.57e-06,6.606e-03,1.471e-09
1,65,108,1,1,264,6,440,6.13e-12,0.0014,0.0557872,0.09232860000000001,0.0014,0.0014,0.2248974,6.57e-06,6.152e-03,1.407e-09
1,2,20,110,306,1,6,440,6.13e-12,0.0014,0.0022498,0.017546199999999998,0.09402820000000002,0.260589,0.0014,6.57e-06,6.522e-03,1.446e-09
117,268,1,1,52,1,6,440,6.13e-12,0.09997680000000002,0.22829660000000002,0.0014,0.0014,0.044739799999999996,0.0014,6.57e-06,6.857e-03,1.331e-09
1,148,181,1,108,1,6,440,6.13e-12,0.0014,0.1263206,0.154364,0.0014,0.09232860000000001,0.0014,6.57e-06,7.110e-03,1.352e-09
1,1,69,296,1,72,6,440,6.13e-12,0.0014,0.0014,0.0591864,0.252091,0.0014,0.0617358,6.57e-06,7.018e-03,1.417e-09
9,222,1,205,1,2,6,440,6.13e-12,0.0081984,0.1892058,0.0014,0.1747592,0.0014,0.0022498,6.57e-06,7.009e-03,1.371e-09
120,267,1,50,1,1,6,440,6.13e-12,0.10252620000000001,0.2274468,0.0014,0.0430402,0.0014,0.0014,6.57e-06,7.038e-03,1.324e-09
97,99,241,1,1,1,6,440,6.13e-12,0.08298080000000001,0.0846804,0.205352,0.0014,0.0014,0.0014,6.57e-06,6.724e-03,1.325e-09
194,13,229,1,1,2,6,440,6.13e-12,0.16541140000000001,0.0115976,0.1951544,0.0014,0.0014,0.0022498,6.57e-06,6.879e-03,1.335e-09
19,393,1,2,24,1,6,440,6.13e-12,0.0166964,0.3345216,0.0014,0.0022498,0.0209454,0.0014,6.57e-06,6.652e-03,1.410e-09
1,179,150,108,1,1,6,440,6.13e-12,0.0014,0.1526644,0.1280202,0.09232860000000001,0.0014,0.0014,6.57e-06,7.482e-03,1.339e-09
1,1,148,16,273,1,6,440,6.13e-12,0.0014,0.0014,0.1263206,0.014147,0.23254560000000002,0.0014,6.57e-06,6.572e-03,1.420e-09
1,426,7,2,3,1,6,440,6.13e-12,0.0014,0.362565,0.006498799999999999,0.0022498,0.0030995999999999997,0.0014,6.57e-06,6.513e-03,1.443e-09
43,1,278,116,1,1,6,440,6.13e-12,0.0370916,0.0014,0.2367946,0.099127,0.0014,0.0014,6.57e-06,7.179e-03,1.371e-09
1,375,1,31,1,31,6,440,6.13e-12,0.0014,0.3192252,0.0014,0.026893999999999998,0.0014,0.026893999999999998,6.57e-06,6.950e-03,1.411e-09
1,32,1,187,218,1,6,440,6.13e-12,0.0014,0.027743800000000002,0.0014,0.15946280000000002,0.18580660000000002,0.0014,6.57e-06,6.968e-03,1.412e-09
1,271,1,37,129,1,6,440,6.13e-12,0.0014,0.230846,0.0014,0.0319928,0.1101744,0.0014,6.57e-06,7.150e-03,1.377e-09
1,1,91,78,268,1,6,440,6.13e-12,0.0014,0.0014,0.077882,0.06683460000000001,0.22829660000000002,0.0014,6.57e-06,6.537e-03,1.413e-09
81,350,5,1,2,1,6,440,6.13e-12,0.069384,0.2979802,0.0047992,0.0014,0.0022498,0.0014,6.57e-06,6.537e-03,1.367e-09
247,1,1,173,16,2,6,440,6.13e-12,0.21045080000000002,0.0014,0.0014,0.14756560000000002,0.014147,0.0022498,6.57e-06,7.033e-03,1.340e-09
1,1,246,10,1,181,6,440,6.13e-12,0.0014,0.0014,0.209601,0.0090482,0.0014,0.154364,6.57e-06,6.888e-03,1.422e-09
1,149,1,194,1,94,6,440,6.13e-12,0.0014,0.12717040000000002,0.0014,0.16541140000000001,0.0014,0.08043140000000001,6.57e-06,6.920e-03,1.363e-09
1,2,8,182,1,246,6,440,6.13e-12,0.0014,0.0022498,0.007348599999999999,0.15521379999999999,0.0014,0.209601,6.57e-06,6.756e-03,1.447e-09
2,1,5,1,139,292,6,440,6.13e-12,0.0022498,0.0014,0.0047992,0.0014,0.11867240000000001,0.24869180000000002,6.57e-06,6.705e-03,1.489e-09
184,249,3,1,2,1,6,440,6.13e-12,0.1569134,0.21215040000000002,0.0030995999999999997,0.0014,0.0022498,0.0014,6.57e-06,7.022e-03,1.320e-09
196,4,236,1,1,2,6,440,6.13e-12,0.167111,0.0039494,0.201103,0.0014,0.0014,0.0022498,6.57e-06,6.867e-03,1.336e-09
1,2,1,105,328,3,6,440,6.13e-12,0.0014,0.0022498,0.0014,0.0897792,0.27928459999999994,0.0030995999999999997,6.57e-06,6.516e-03,1.471e-09
21,1,1,2,146,269,6,440,6.13e-12,0.018396,0.0014,0.0014,0.0022498,0.12462100000000001,0.2291464,6.57e-06,6.667e-03,1.461e-09
1,1,20,243,174,1,6,440,6.13e-12,0.0014,0.0014,0.017546199999999998,0.2070516,0.1484154,0.0014,6.57e-06,7.266e-03,1.422e-09
1,202,1,223,2,11,6,440,6.13e-12,0.0014,0.1722098,0.0014,0.1900556,0.0022498,0.009898,6.57e-06,6.999e-03,1.367e-09
12,325,1,2,99,1,6,440,6.13e-12,0.0107478,0.27673519999999996,0.0014,0.0022498,0.0846804,0.0014,6.57e-06,7.070e-03,1.388e-09
1,30,276,1,1,131,6,440,6.13e-12,0.0014,0.0260442,0.235095,0.0014,0.0014,0.11187400000000002,6.57e-06,6.935e-03,1.403e-09
1,331,1,2,16,89,6,440,6.13e-12,0.0014,0.28183400000000003,0.0014,0.0022498,0.014147,0.0761824,6.57e-06,7.002e-03,1.392e-09
33,200,204,1,1,1,6,440,6.13e-12,0.0285936,0.1705102,0.17390940000000002,0.0014,0.0014,0.0014,6.57e-06,7.119e-03,1.344e-09
1,155,1,1,123,159,6,440,6.13e-12,0.0014,0.1322692,0.0014,0.0014,0.1050756,0.13566840000000002,6.57e-06,6.757e-03,1.379e-09
68,119,1,250,1,1,6,440,6.13e-12,0.058336599999999995,0.1016764,0.0014,0.2130002,0.0014,0.0014,6.57e-06,6.463e-03,1.347e-09
1,112,240,1,1,85,6,440,6.13e-12,0.0014,0.0957278,0.20450220000000002,0.0014,0.0014,0.0727832,6.57e-06,6.838e-03,1.359e-09
309,17,110,1,1,2,6,440,6.13e-12,0.2631384,0.014996800000000001,0.09402820000000002,0.0014,0.0014,0.0022498,6.57e-06,7.284e-03,1.340e-09
1,177,1,238,21,2,6,440,6.13e-12,0.0014,0.1509648,0.0014,0.20280260000000003,0.018396,0.0022498,6.57e-06,6.959e-03,1.376e-09
308,115,1,2,13,1,6,440,6.13e-12,0.2622886,0.09827720000000001,0.0014,0.0022498,0.0115976,0.0014,6.57e-06,7.251e-03,1.338e-09
1,2,53,367,1,16,6,440,6.13e-12,0.0014,0.0022498,0.0455896,0.31242679999999995,0.0014,0.014147,6.57e-06,6.543e-03,1.462e-09
345,1,1,68,1,24,6,440,6.13e-12,0.2937312,0.0014,0.0014,0.058336599999999995,0.0014,0.0209454,6.57e-06,7.006e-03,1.367e-09
7,48,1,1,382,1,6,440,6.13e-12,0.006498799999999999,0.041340600000000005,0.0014,0.0014,0.32517379999999996,0.0014,6.57e-06,6.224e-03,1.486e-09
47,219,1,1,171,1,6,440,6.13e-12,0.0404908,0.18665640000000003,0.0014,0.0014,0.14586600000000002,0.0014,6.57e-06,6.682e-03,1.355e-09
372,55,1,10,1,1,6,440,6.13e-12,0.3166758,0.0472892,0.0014,0.0090482,0.0014,0.0014,6.57e-06,6.934e-03,1.365e-09
1,198,2,16,222,1,6,440,6.13e-12,0.0014,0.1688106,0.0022498,0.014147,0.1892058,0.0014,6.57e-06,6.671e-03,1.382e-09
211,1,2,15,1,210,6,440,6.13e-12,0.17985800000000002,0.0014,0.0022498,0.0132972,0.0014,0.17900820000000003,6.57e-06,6.185e-03,1.359e-09
133,1,183,121,1,1,6,440,6.13e-12,0.1135736,0.0014,0.15606360000000002,0.10337600000000001,0.0014,0.0014,6.57e-06,7.134e-03,1.319e-09
1,323,92,1,1,22,6,440,6.13e-12,0.0014,0.2750356,0.0787318,0.0014,0.0014,0.0192458,6.57e-06,7.191e-03,1.378e-09
127,1,1,234,1,76,6,440,6.13e-12,0.10847480000000001,0.0014,0.0014,0.1994034,0.0014,0.06513500000000001,6.57e-06,6.711e-03,1.356e-09
321,109,1,1,7,1,6,440,6.13e-12,0.27333599999999997,0.09317840000000001,0.0014,0.0014,0.006498799999999999,0.0014,6.57e-06,7.234e-03,1.340e-09
28,1,193,216,1,1,6,440,6.13e-12,0.0243446,0.0014,0.1645616,0.184107,0.0014,0.0014,6.57e-06,7.028e-03,1.381e-09
328,17,2,1,1,91,6,440,6.13e-12,0.27928459999999994,0.014996800000000001,0.0022498,0.0014,0.0014,0.077882,6.57e-06,6.695e-03,1.356e-09
1,333,1,1,31,73,6,440,6.13e-12,0.0014,0.2835336,0.0014,0.0014,0.026893999999999998,0.0625856,6.57e-06,7.066e-03,1.401e-09
1,126,1,61,1,250,6,440,6.13e-12,0.0014,0.107625,0.0014,0.052388,0.0014,0.2130002,6.57e-06,6.208e-03,1.397e-09
273,1,151,1,13,1,6,440,6.13e-12,0.23254560000000002,0.0014,0.12887,0.0014,0.0115976,0.0014,6.57e-06,7.268e-03,1.339e-09
29,1,24,1,1,384,6,440,6.13e-12,0.0251944,0.0014,0.0209454,0.0014,0.0014,0.32687340000000004,6.57e-06,6.118e-03,1.513e-09
1,2,3,347,1,86,6,440,6.13e-12,0.0014,0.0022498,0.0030995999999999997,0.2954308,0.0014,0.07363300000000002,6.57e-06,7.108e-03,1.475e-09
1,56,181,1,200,1,6,440,6.13e-12,0.0014,0.048138999999999994,0.154364,0.0014,0.1705102,0.0014,6.57e-06,6.776e-03,1.379e-09
142,1,1,251,44,1,6,440,6.13e-12,0.1212218,0.0014,0.0014,0.21385,0.0379414,0.0014,6.57e-06,6.763e-03,1.362e-09
122,207,1,1,108,1,6,440,6.13e-12,0.10422580000000001,0.1764588,0.0014,0.0014,0.09232860000000001,0.0014,6.57e-06,6.751e-03,1.324e-09
1,110,1,20,1,307,6,440,6.13e-12,0.0014,0.09402820000000002,0.0014,0.017546199999999998,0.0014,0.26143879999999997,6.57e-06,6.072e-03,1.439e-09
8,31,1,1,2,397,6,440,6.13e-12,0.007348599999999999,0.026893999999999998,0.0014,0.0014,0.0022498,0.33792079999999997,6.57e-06,6.168e-03,1.538e-09
1,363,1,21,2,52,6,440,6.13e-12,0.0014,0.30902759999999996,0.0014,0.018396,0.0022498,0.044739799999999996,6.57e-06,6.989e-03,1.411e-09
1,1,98,21,1,318,6,440,6.13e-12,0.0014,0.0014,0.0838306,0.018396,0.0014,0.2707866,6.57e-06,6.232e-03,1.459e-09
204,1,1,46,187,1,6,440,6.13e-12,0.17390940000000002,0.0014,0.0014,0.039640999999999996,0.15946280000000002,0.0014,6.57e-06,6.586e-03,1.348e-09
180,103,1,1,154,1,6,440,6.13e-12,0.15351420000000002,0.08807960000000001,0.0014,0.0014,0.1314194,0.0014,6.57e-06,6.560e-03,1.312e-09
307,1,1,107,1,23,6,440,6.13e-12,0.26143879999999997,0.0014,0.0014,0.09147880000000001,0.0014,0.020095599999999998,6.57e-06,7.054e-03,1.346e-09
1,1,19,50,367,2,6,440,6.13e-12,0.0014,0.0014,0.0166964,0.0430402,0.31242679999999995,0.0022498,6.57e-06,6.349e-03,1.482e-09
1,2,87,7,342,1,6,440,6.13e-12,0.0014,0.0022498,0.07448280000000002,0.006498799999999999,0.29118179999999994,0.0014,6.57e-06,6.333e-03,1.463e-09
1,56,1,31,1,350,6,440,6.13e-12,0.0014,0.048138999999999994,0.0014,0.026893999999999998,0.0014,0.2979802,6.57e-06,6.124e-03,1.487e-09
126,1,213,1,1,98,6,440,6.13e-12,0.107625,0.0014,0.1815576,0.0014,0.0014,0.0838306,6.57e-06,6.600e-03,1.345e-09
26,21,2,1,1,389,6,440,6.13e-12,0.022645,0.018396,0.0022498,0.0014,0.0014,0.3311224,6.57e-06,6.099e-03,1.516e-09
158,85,1,1,194,1,6,440,6.13e-12,0.1348186,0.0727832,0.0014,0.0014,0.16541140000000001,0.0014,6.57e-06,6.352e-03,1.333e-09
36,154,1,1,1,247,6,440,6.13e-12,0.031142999999999997,0.1314194,0.0014,0.0014,0.0014,0.21045080000000002,6.57e-06,6.060e-03,1.390e-09
1,1,2,141,4,291,6,440,6.13e-12,0.0014,0.0014,0.0022498,0.120372,0.0039494,0.247842,6.57e-06,6.540e-03,1.462e-09
2,20,1,1,60,356,6,440,6.13e-12,0.0022498,0.017546199999999998,0.0014,0.0014,0.0515382,0.30307899999999993,6.57e-06,6.277e-03,1.508e-09
302,23,1,112,1,1,6,440,6.13e-12,0.2571898,0.020095599999999998,0.0014,0.0957278,0.0014,0.0014,6.57e-06,7.152e-03,1.346e-09
81,309,1,1,1,47,6,440,6.13e-12,0.069384,0.2631384,0.0014,0.0014,0.0014,0.0404908,6.57e-06,6.629e-03,1.357e-09
198,173,1,66,1,1,6,440,6.13e-12,0.1688106,0.14756560000000002,0.0014,0.056637,0.0014,0.0014,6.57e-06,7.341e-03,1.303e-09
1,142,107,188,1,1,6,440,6.13e-12,0.0014,0.1212218,0.09147880000000001,0.1603126,0.0014,0.0014,6.57e-06,7.033e-03,1.344e-09
142,1,129,1,166,1,6,440,6.13e-12,0.1212218,0.0014,0.1101744,0.0014,0.14161700000000002,0.0014,6.57e-06,6.619e-03,1.336e-09
65,270,1,1,1,102,6,440,6.13e-12,0.0557872,0.2299962,0.0014,0.0014,0.0014,0.08722980000000001,6.57e-06,6.588e-03,1.351e-09
1,168,1,1,194,75,6,440,6.13e-12,0.0014,0.1433166,0.0014,0.0014,0.16541140000000001,0.0642852,6.57e-06,6.982e-03,1.384e-09
1,1,51,20,2,365,6,440,6.13e-12,0.0014,0.0014,0.04389,0.017546199999999998,0.0022498,0.3107272,6.57e-06,6.229e-03,1.512e-09
140,1,1,52,245,1,6,440,6.13e-12,0.11952220000000001,0.0014,0.0014,0.044739799999999996,0.20875120000000003,0.0014,6.57e-06,6.293e-03,1.368e-09
251,77,1,1,109,1,6,440,6.13e-12,0.21385,0.06598480000000001,0.0014,0.0014,0.09317840000000001,0.0014,6.57e-06,6.863e-03,1.329e-09
3,197,1,2,1,236,6,440,6.13e-12,0.0030995999999999997,0.16796080000000002,0.0014,0.0022498,0.0014,0.201103,6.57e-06,6.351e-03,1.400e-09
1,414,11,11,1,2,6,440,6.13e-12,0.0014,0.3523674,0.009898,0.009898,0.0014,0.0022498,6.57e-06,6.602e-03,1.429e-09
1,135,295,1,6,2,6,440,6.13e-12,0.0014,0.1152732,0.2512412,0.0014,0.0056489999999999995,0.0022498,6.57e-06,6.771e-03,1.378e-09
2,1,12,1,281,143,6,440,6.13e-12,0.0022498,0.0014,0.0107478,0.0014,0.239344,0.1220716,6.57e-06,7.288e-03,1.476e-09
1,1,357,2,5,74,6,440,6.13e-12,0.0014,0.0014,0.3039288,0.0022498,0.0047992,0.0634354,6.57e-06,7.054e-03,1.443e-09
1,1,274,2,150,12,6,440,6.13e-12,0.0014,0.0014,0.2333954,0.0022498,0.1280202,0.0107478,6.57e-06,7.314e-03,1.414e-09
