Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
14,10,37,1,24,54,6,140,6.13e-12,0.0124474,0.0090482,0.0319928,0.0014,0.0209454,0.0464394,6.57e-6,3.802e-03,2.573e-09
11,26,11,5,51,36,6,140,6.13e-12,0.009898,0.022645,0.009898,0.0047992,0.04389,0.031142999999999997,6.57e-6,3.837e-03,2.570e-09
40,7,10,68,5,10,6,140,6.13e-12,0.0345422,0.006498799999999999,0.0090482,0.058336599999999995,0.0047992,0.0090482,6.57e-6,3.879e-03,2.548e-09
78,18,8,1,7,28,6,140,6.13e-12,0.06683460000000001,0.015846600000000002,0.007348599999999999,0.0014,0.006498799999999999,0.0243446,6.57e-6,3.810e-03,2.547e-09
1,18,6,38,73,4,6,140,6.13e-12,0.0014,0.015846600000000002,0.0056489999999999995,0.0328426,0.0625856,0.0039494,6.57e-6,3.826e-03,2.566e-09
13,9,27,15,64,12,6,140,6.13e-12,0.0115976,0.0081984,0.0234948,0.0132972,0.0549374,0.0107478,6.57e-6,3.850e-03,2.555e-09
37,51,16,11,4,21,6,140,6.13e-12,0.0319928,0.04389,0.014147,0.009898,0.0039494,0.018396,6.57e-6,3.847e-03,2.549e-09
23,35,43,13,21,5,6,140,6.13e-12,0.020095599999999998,0.0302932,0.0370916,0.0115976,0.018396,0.0047992,6.57e-6,3.912e-03,2.556e-09
14,4,91,18,7,6,6,140,6.13e-12,0.0124474,0.0039494,0.077882,0.015846600000000002,0.006498799999999999,0.0056489999999999995,6.57e-6,3.930e-03,2.573e-09
15,22,26,13,20,44,6,140,6.13e-12,0.0132972,0.0192458,0.022645,0.0115976,0.017546199999999998,0.0379414,6.57e-6,3.816e-03,2.566e-09
3,8,23,3,13,90,6,140,6.13e-12,0.0030995999999999997,0.007348599999999999,0.020095599999999998,0.0030995999999999997,0.0115976,0.07703220000000001,6.57e-6,3.720e-03,2.594e-09
3,42,5,14,69,7,6,140,6.13e-12,0.0030995999999999997,0.0362418,0.0047992,0.0124474,0.0591864,0.006498799999999999,6.57e-6,3.830e-03,2.577e-09
33,6,11,39,5,46,6,140,6.13e-12,0.0285936,0.0056489999999999995,0.009898,0.0336924,0.0047992,0.039640999999999996,6.57e-6,3.802e-03,2.552e-09
50,15,13,18,2,42,6,140,6.13e-12,0.0430402,0.0132972,0.0115976,0.015846600000000002,0.0022498,0.0362418,6.57e-6,3.795e-03,2.554e-09
35,1,30,32,41,1,6,140,6.13e-12,0.0302932,0.0014,0.0260442,0.027743800000000002,0.035392,0.0014,6.57e-6,3.891e-03,2.560e-09
37,32,17,32,13,9,6,140,6.13e-12,0.0319928,0.027743800000000002,0.014996800000000001,0.027743800000000002,0.0115976,0.0081984,6.57e-6,3.888e-03,2.543e-09
19,7,18,17,67,12,6,140,6.13e-12,0.0166964,0.006498799999999999,0.015846600000000002,0.014996800000000001,0.0574868,0.0107478,6.57e-6,3.836e-03,2.570e-09
33,71,1,10,11,14,6,140,6.13e-12,0.0285936,0.060885999999999996,0.0014,0.0090482,0.009898,0.0124474,6.57e-6,3.866e-03,2.554e-09
18,4,39,61,13,5,6,140,6.13e-12,0.015846600000000002,0.0039494,0.0336924,0.052388,0.0115976,0.0047992,6.57e-6,3.924e-03,2.572e-09
5,1,3,9,18,104,6,140,6.13e-12,0.0047992,0.0014,0.0030995999999999997,0.0081984,0.015846600000000002,0.0889294,6.57e-6,3.704e-03,2.587e-09
14,23,30,1,26,46,6,140,6.13e-12,0.0124474,0.020095599999999998,0.0260442,0.0014,0.022645,0.039640999999999996,6.57e-6,3.819e-03,2.562e-09
59,9,9,26,1,36,6,140,6.13e-12,0.0506884,0.0081984,0.0081984,0.022645,0.0014,0.031142999999999997,6.57e-6,3.806e-03,2.555e-09
43,3,26,24,1,43,6,140,6.13e-12,0.0370916,0.0030995999999999997,0.022645,0.0209454,0.0014,0.0370916,6.57e-6,3.806e-03,2.559e-09
15,5,57,2,2,59,6,140,6.13e-12,0.0132972,0.0047992,0.0489888,0.0022498,0.0022498,0.0506884,6.57e-6,3.798e-03,2.574e-09
10,14,68,22,10,16,6,140,6.13e-12,0.0090482,0.0124474,0.058336599999999995,0.0192458,0.0090482,0.014147,6.57e-6,3.913e-03,2.569e-09
1,53,2,38,36,10,6,140,6.13e-12,0.0014,0.0455896,0.0022498,0.0328426,0.031142999999999997,0.0090482,6.57e-6,3.902e-03,2.568e-09
3,52,4,13,4,64,6,140,6.13e-12,0.0030995999999999997,0.044739799999999996,0.0039494,0.0115976,0.0039494,0.0549374,6.57e-6,3.770e-03,2.577e-09
25,1,27,66,20,1,6,140,6.13e-12,0.021795199999999997,0.0014,0.0234948,0.056637,0.017546199999999998,0.0014,6.57e-6,3.916e-03,2.557e-09
2,8,12,30,30,58,6,140,6.13e-12,0.0022498,0.007348599999999999,0.0107478,0.0260442,0.0260442,0.049838600000000004,6.57e-6,3.791e-03,2.555e-09
13,56,5,37,17,12,6,140,6.13e-12,0.0115976,0.048138999999999994,0.0047992,0.0319928,0.014996800000000001,0.0107478,6.57e-6,3.896e-03,2.547e-09
25,39,21,32,19,4,6,140,6.13e-12,0.021795199999999997,0.0336924,0.018396,0.027743800000000002,0.0166964,0.0039494,6.57e-6,3.912e-03,2.555e-09
21,5,11,91,1,11,6,140,6.13e-12,0.018396,0.0047992,0.009898,0.077882,0.0014,0.009898,6.57e-6,3.849e-03,2.589e-09
2,10,86,10,16,16,6,140,6.13e-12,0.0022498,0.0090482,0.07363300000000002,0.0090482,0.014147,0.014147,6.57e-6,3.920e-03,2.595e-09
