Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
90,14,116,3,220,1.0198e-11,0.07703220000000001,0.0124474,0.099127,4.6999999999999995e-07,6.091e-03,2.696e-09
140,59,21,3,220,1.0198e-11,0.11952220000000001,0.0506884,0.018396,4.6999999999999995e-07,6.187e-03,2.655e-09
132,41,47,3,220,1.0198e-11,0.11272380000000001,0.035392,0.0404908,4.6999999999999995e-07,6.214e-03,2.675e-09
163,3,54,3,220,1.0198e-11,0.1390676,0.0030995999999999997,0.0464394,4.6999999999999995e-07,6.104e-03,2.678e-09
78,71,71,3,220,1.0198e-11,0.06683460000000001,0.060885999999999996,0.060885999999999996,4.6999999999999995e-07,6.225e-03,2.672e-09
35,118,67,3,220,1.0198e-11,0.0302932,0.1008266,0.0574868,4.6999999999999995e-07,6.194e-03,2.691e-09
175,23,22,3,220,1.0198e-11,0.1492652,0.020095599999999998,0.0192458,4.6999999999999995e-07,6.048e-03,2.696e-09
11,6,203,3,220,1.0198e-11,0.009898,0.0056489999999999995,0.1730596,4.6999999999999995e-07,5.898e-03,2.778e-09
85,44,91,3,220,1.0198e-11,0.0727832,0.0379414,0.077882,4.6999999999999995e-07,6.164e-03,2.684e-09
127,90,3,3,220,1.0198e-11,0.10847480000000001,0.07703220000000001,0.0030995999999999997,4.6999999999999995e-07,6.179e-03,2.670e-09
5,195,20,3,220,1.0198e-11,0.0047992,0.1662612,0.017546199999999998,4.6999999999999995e-07,5.955e-03,2.741e-09
22,106,92,3,220,1.0198e-11,0.0192458,0.090629,0.0787318,4.6999999999999995e-07,6.181e-03,2.702e-09
29,190,1,3,220,1.0198e-11,0.0251944,0.16201220000000002,0.0014,4.6999999999999995e-07,5.936e-03,2.724e-09
13,34,173,3,220,1.0198e-11,0.0115976,0.029443399999999998,0.14756560000000002,4.6999999999999995e-07,5.963e-03,2.750e-09
81,80,59,3,220,1.0198e-11,0.069384,0.06853420000000002,0.0506884,4.6999999999999995e-07,6.248e-03,2.672e-09
16,72,132,3,220,1.0198e-11,0.014147,0.0617358,0.11272380000000001,4.6999999999999995e-07,6.075e-03,2.695e-09
