Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
118,1,1,3,120,10.198e-12,0.1008266,0.0014,0.0014,0.47e-6,3.618e-03,4.305e-09
1,1,118,3,120,10.198e-12,0.0014,0.0014,0.1008266,0.47e-6,3.622e-03,4.353e-09
1,118,1,3,120,10.198e-12,0.0014,0.1008266,0.0014,0.47e-6,3.621e-03,4.342e-09
1,117,2,3,120,10.198e-12,0.0014,0.09997680000000002,0.0022498,0.47e-6,3.622e-03,4.351e-09
117,1,2,3,120,10.198e-12,0.09997680000000002,0.0014,0.0022498,0.47e-6,3.620e-03,4.266e-09
2,117,1,3,120,10.198e-12,0.0022498,0.09997680000000002,0.0014,0.47e-6,3.622e-03,4.349e-09
117,2,1,3,120,10.198e-12,0.09997680000000002,0.0022498,0.0014,0.47e-6,3.620e-03,4.306e-09
1,2,117,3,120,10.198e-12,0.0014,0.0022498,0.09997680000000002,0.47e-6,3.621e-03,4.392e-09
2,1,117,3,120,10.198e-12,0.0022498,0.0014,0.09997680000000002,0.47e-6,3.621e-03,4.393e-09
3,1,116,3,120,10.198e-12,0.0030995999999999997,0.0014,0.099127,0.47e-6,3.623e-03,4.388e-09
116,3,1,3,120,10.198e-12,0.099127,0.0030995999999999997,0.0014,0.47e-6,3.624e-03,4.311e-09
116,1,3,3,120,10.198e-12,0.099127,0.0014,0.0030995999999999997,0.47e-6,3.623e-03,4.292e-09
1,116,3,3,120,10.198e-12,0.0014,0.099127,0.0030995999999999997,0.47e-6,3.623e-03,4.345e-09
1,3,116,3,120,10.198e-12,0.0014,0.0030995999999999997,0.099127,0.47e-6,3.623e-03,4.351e-09
3,116,1,3,120,10.198e-12,0.0030995999999999997,0.099127,0.0014,0.47e-6,3.622e-03,4.355e-09
115,4,1,3,120,10.198e-12,0.09827720000000001,0.0039494,0.0014,0.47e-6,3.626e-03,4.301e-09
115,1,4,3,120,10.198e-12,0.09827720000000001,0.0014,0.0039494,0.47e-6,3.627e-03,4.308e-09
1,115,4,3,120,10.198e-12,0.0014,0.09827720000000001,0.0039494,0.47e-6,3.624e-03,4.342e-09
1,4,115,3,120,10.198e-12,0.0014,0.0039494,0.09827720000000001,0.47e-6,3.624e-03,4.349e-09
4,115,1,3,120,10.198e-12,0.0039494,0.09827720000000001,0.0014,0.47e-6,3.623e-03,4.331e-09
4,1,115,3,120,10.198e-12,0.0039494,0.0014,0.09827720000000001,0.47e-6,3.623e-03,4.348e-09
1,5,114,3,120,10.198e-12,0.0014,0.0047992,0.09742740000000001,0.47e-6,3.625e-03,4.350e-09
5,1,114,3,120,10.198e-12,0.0047992,0.0014,0.09742740000000001,0.47e-6,3.622e-03,4.388e-09
114,1,5,3,120,10.198e-12,0.09742740000000001,0.0014,0.0047992,0.47e-6,3.627e-03,4.308e-09
114,5,1,3,120,10.198e-12,0.09742740000000001,0.0047992,0.0014,0.47e-6,3.627e-03,4.311e-09
5,114,1,3,120,10.198e-12,0.0047992,0.09742740000000001,0.0014,0.47e-6,3.625e-03,4.343e-09
1,114,5,3,120,10.198e-12,0.0014,0.09742740000000001,0.0047992,0.47e-6,3.626e-03,4.355e-09
113,1,6,3,120,10.198e-12,0.0965776,0.0014,0.0056489999999999995,0.47e-6,3.629e-03,4.311e-09
1,113,6,3,120,10.198e-12,0.0014,0.0965776,0.0056489999999999995,0.47e-6,3.626e-03,4.326e-09
6,1,113,3,120,10.198e-12,0.0056489999999999995,0.0014,0.0965776,0.47e-6,3.625e-03,4.351e-09
6,113,1,3,120,10.198e-12,0.0056489999999999995,0.0965776,0.0014,0.47e-6,3.625e-03,4.352e-09
113,6,1,3,120,10.198e-12,0.0965776,0.0056489999999999995,0.0014,0.47e-6,3.629e-03,4.316e-09
1,6,113,3,120,10.198e-12,0.0014,0.0056489999999999995,0.0965776,0.47e-6,3.627e-03,4.357e-09
112,1,7,3,120,10.198e-12,0.0957278,0.0014,0.006498799999999999,0.47e-6,3.632e-03,4.308e-09
7,112,1,3,120,10.198e-12,0.006498799999999999,0.0957278,0.0014,0.47e-6,3.625e-03,4.336e-09
112,7,1,3,120,10.198e-12,0.0957278,0.006498799999999999,0.0014,0.47e-6,3.629e-03,4.296e-09
1,112,7,3,120,10.198e-12,0.0014,0.0957278,0.006498799999999999,0.47e-6,3.631e-03,4.347e-09
1,7,112,3,120,10.198e-12,0.0014,0.006498799999999999,0.0957278,0.47e-6,3.627e-03,4.387e-09
7,1,112,3,120,10.198e-12,0.006498799999999999,0.0014,0.0957278,0.47e-6,3.626e-03,4.369e-09
1,111,8,3,120,10.198e-12,0.0014,0.094878,0.007348599999999999,0.47e-6,3.631e-03,4.323e-09
1,8,111,3,120,10.198e-12,0.0014,0.007348599999999999,0.094878,0.47e-6,3.628e-03,4.350e-09
8,111,1,3,120,10.198e-12,0.007348599999999999,0.094878,0.0014,0.47e-6,3.627e-03,4.313e-09
8,1,111,3,120,10.198e-12,0.007348599999999999,0.0014,0.094878,0.47e-6,3.625e-03,4.356e-09
111,8,1,3,120,10.198e-12,0.094878,0.007348599999999999,0.0014,0.47e-6,3.632e-03,4.312e-09
111,1,8,3,120,10.198e-12,0.094878,0.0014,0.007348599999999999,0.47e-6,3.634e-03,4.316e-09
1,9,110,3,120,10.198e-12,0.0014,0.0081984,0.09402820000000002,0.47e-6,3.627e-03,4.385e-09
9,1,110,3,120,10.198e-12,0.0081984,0.0014,0.09402820000000002,0.47e-6,3.627e-03,4.349e-09
1,110,9,3,120,10.198e-12,0.0014,0.09402820000000002,0.0081984,0.47e-6,3.634e-03,4.337e-09
110,9,1,3,120,10.198e-12,0.09402820000000002,0.0081984,0.0014,0.47e-6,3.633e-03,4.314e-09
110,1,9,3,120,10.198e-12,0.09402820000000002,0.0014,0.0081984,0.47e-6,3.630e-03,4.286e-09
9,110,1,3,120,10.198e-12,0.0081984,0.09402820000000002,0.0014,0.47e-6,3.628e-03,4.321e-09
10,109,1,3,120,10.198e-12,0.0090482,0.09317840000000001,0.0014,0.47e-6,3.627e-03,4.336e-09
1,109,10,3,120,10.198e-12,0.0014,0.09317840000000001,0.0090482,0.47e-6,3.636e-03,4.334e-09
109,1,10,3,120,10.198e-12,0.09317840000000001,0.0014,0.0090482,0.47e-6,3.633e-03,4.303e-09
1,10,109,3,120,10.198e-12,0.0014,0.0090482,0.09317840000000001,0.47e-6,3.629e-03,4.382e-09
10,1,109,3,120,10.198e-12,0.0090482,0.0014,0.09317840000000001,0.47e-6,3.626e-03,4.372e-09
109,10,1,3,120,10.198e-12,0.09317840000000001,0.0090482,0.0014,0.47e-6,3.634e-03,4.314e-09
108,11,1,3,120,10.198e-12,0.09232860000000001,0.009898,0.0014,0.47e-6,3.635e-03,4.291e-09
11,1,108,3,120,10.198e-12,0.009898,0.0014,0.09232860000000001,0.47e-6,3.627e-03,4.377e-09
11,108,1,3,120,10.198e-12,0.009898,0.09232860000000001,0.0014,0.47e-6,3.630e-03,4.313e-09
1,11,108,3,120,10.198e-12,0.0014,0.009898,0.09232860000000001,0.47e-6,3.631e-03,4.324e-09
1,108,11,3,120,10.198e-12,0.0014,0.09232860000000001,0.009898,0.47e-6,3.637e-03,4.330e-09
108,1,11,3,120,10.198e-12,0.09232860000000001,0.0014,0.009898,0.47e-6,3.635e-03,4.280e-09
107,1,12,3,120,10.198e-12,0.09147880000000001,0.0014,0.0107478,0.47e-6,3.636e-03,4.287e-09
1,12,107,3,120,10.198e-12,0.0014,0.0107478,0.09147880000000001,0.47e-6,3.630e-03,4.382e-09
107,12,1,3,120,10.198e-12,0.09147880000000001,0.0107478,0.0014,0.47e-6,3.639e-03,4.293e-09
12,107,1,3,120,10.198e-12,0.0107478,0.09147880000000001,0.0014,0.47e-6,3.631e-03,4.319e-09
1,107,12,3,120,10.198e-12,0.0014,0.09147880000000001,0.0107478,0.47e-6,3.639e-03,4.340e-09
12,1,107,3,120,10.198e-12,0.0107478,0.0014,0.09147880000000001,0.47e-6,3.629e-03,4.355e-09
1,106,13,3,120,10.198e-12,0.0014,0.090629,0.0115976,0.47e-6,3.640e-03,4.343e-09
