Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
1,346,1,1,21,339,1,7,710,1.949e-11,0.0014,0.294581,0.0014,0.0014,0.018396,0.28863239999999996,0.0014,1.74e-05,1.424e-02,2.149e-09
1,1,12,1,294,400,1,7,710,1.949e-11,0.0014,0.0014,0.0107478,0.0014,0.2503914,0.3404702,0.0014,1.74e-05,1.443e-02,2.209e-09
1,1,1,238,1,437,31,7,710,1.949e-11,0.0014,0.0014,0.0014,0.20280260000000003,0.0014,0.3719128,0.026893999999999998,1.74e-05,1.412e-02,2.218e-09
15,1,1,1,473,218,1,7,710,1.949e-11,0.0132972,0.0014,0.0014,0.0014,0.40250559999999996,0.18580660000000002,0.0014,1.74e-05,1.479e-02,2.233e-09
50,1,1,91,565,1,1,7,710,1.949e-11,0.0430402,0.0014,0.0014,0.077882,0.4806872,0.0014,0.0014,1.74e-05,1.313e-02,2.244e-09
1,1,26,1,1,314,366,7,710,1.949e-11,0.0014,0.0014,0.022645,0.0014,0.0014,0.26738739999999994,0.311577,1.74e-05,1.459e-02,2.243e-09
1,1,1,15,1,537,154,7,710,1.949e-11,0.0014,0.0014,0.0014,0.0132972,0.0014,0.4568928,0.1314194,1.74e-05,1.432e-02,2.302e-09
1,27,369,310,1,1,1,7,710,1.949e-11,0.0014,0.0234948,0.3141264,0.26398819999999995,0.0014,0.0014,0.0014,1.74e-05,1.492e-02,2.125e-09
475,1,1,1,55,1,176,7,710,1.949e-11,0.4042052,0.0014,0.0014,0.0014,0.0472892,0.0014,0.150115,1.74e-05,1.465e-02,2.124e-09
1,1,1,1,475,57,174,7,710,1.949e-11,0.0014,0.0014,0.0014,0.0014,0.4042052,0.0489888,0.1484154,1.74e-05,1.500e-02,2.233e-09
1,1,1,64,430,212,1,7,710,1.949e-11,0.0014,0.0014,0.0014,0.0549374,0.3659642,0.1807078,0.0014,1.74e-05,1.494e-02,2.189e-09
1,4,505,1,197,1,1,7,710,1.949e-11,0.0014,0.0039494,0.42969919999999995,0.0014,0.16796080000000002,0.0014,0.0014,1.74e-05,1.474e-02,2.178e-09
318,369,1,19,1,1,1,7,710,1.949e-11,0.2707866,0.3141264,0.0014,0.0166964,0.0014,0.0014,0.0014,1.74e-05,1.483e-02,2.066e-09
457,1,29,1,1,1,220,7,710,1.949e-11,0.3889088,0.0014,0.0251944,0.0014,0.0014,0.0014,0.1875062,1.74e-05,1.438e-02,2.120e-09
1,1,158,1,1,495,53,7,710,1.949e-11,0.0014,0.0014,0.1348186,0.0014,0.0014,0.4212012,0.0455896,1.74e-05,1.370e-02,2.226e-09
1,1,63,1,58,1,585,7,710,1.949e-11,0.0014,0.0014,0.0540876,0.0014,0.049838600000000004,0.0014,0.4976832,1.74e-05,1.286e-02,2.319e-09
360,1,60,286,1,1,1,7,710,1.949e-11,0.3064782,0.0014,0.0515382,0.24359300000000003,0.0014,0.0014,0.0014,1.74e-05,1.483e-02,2.076e-09
1,1,102,25,1,1,579,7,710,1.949e-11,0.0014,0.0014,0.08722980000000001,0.021795199999999997,0.0014,0.0014,0.4925844,1.74e-05,1.293e-02,2.321e-09
1,1,335,367,4,1,1,7,710,1.949e-11,0.0014,0.0014,0.28523319999999996,0.31242679999999995,0.0039494,0.0014,0.0014,1.74e-05,1.475e-02,2.136e-09
1,45,649,12,1,1,1,7,710,1.949e-11,0.0014,0.0387912,0.5520704,0.0107478,0.0014,0.0014,0.0014,1.74e-05,1.299e-02,2.257e-09
1,1,1,260,1,429,17,7,710,1.949e-11,0.0014,0.0014,0.0014,0.2214982,0.0014,0.3651144,0.014996800000000001,1.74e-05,1.412e-02,2.211e-09
186,1,1,23,1,497,1,7,710,1.949e-11,0.158613,0.0014,0.0014,0.020095599999999998,0.0014,0.4229008,0.0014,1.74e-05,1.301e-02,2.194e-09
1,1,524,123,1,59,1,7,710,1.949e-11,0.0014,0.0014,0.4458454,0.1050756,0.0014,0.0506884,0.0014,1.74e-05,1.463e-02,2.161e-09
361,1,307,1,38,1,1,7,710,1.949e-11,0.307328,0.0014,0.26143879999999997,0.0014,0.0328426,0.0014,0.0014,1.74e-05,1.512e-02,2.063e-09
14,1,266,1,1,426,1,7,710,1.949e-11,0.0124474,0.0014,0.22659700000000002,0.0014,0.0014,0.362565,0.0014,1.74e-05,1.377e-02,2.187e-09
125,1,1,1,1,553,28,7,710,1.949e-11,0.10677520000000001,0.0014,0.0014,0.0014,0.0014,0.4704896,0.0243446,1.74e-05,1.305e-02,2.255e-09
1,1,257,1,35,1,414,7,710,1.949e-11,0.0014,0.0014,0.2189488,0.0014,0.0302932,0.0014,0.3523674,1.74e-05,1.365e-02,2.196e-09
1,1,226,19,1,1,461,7,710,1.949e-11,0.0014,0.0014,0.19260500000000003,0.0166964,0.0014,0.0014,0.392308,1.74e-05,1.333e-02,2.231e-09
327,1,374,1,5,1,1,7,710,1.949e-11,0.2784348,0.0014,0.3183754,0.0014,0.0047992,0.0014,0.0014,1.74e-05,1.451e-02,2.088e-09
566,1,51,1,89,1,1,7,710,1.949e-11,0.481537,0.0014,0.04389,0.0014,0.0761824,0.0014,0.0014,1.74e-05,1.432e-02,2.132e-09
1,227,13,1,1,1,466,7,710,1.949e-11,0.0014,0.1934548,0.0115976,0.0014,0.0014,0.0014,0.396557,1.74e-05,1.312e-02,2.218e-09
499,151,1,56,1,1,1,7,710,1.949e-11,0.4246004,0.12887,0.0014,0.048138999999999994,0.0014,0.0014,0.0014,1.74e-05,1.491e-02,2.076e-09
174,15,1,517,1,1,1,7,710,1.949e-11,0.1484154,0.0132972,0.0014,0.4398968,0.0014,0.0014,0.0014,1.74e-05,1.319e-02,2.165e-09
1,475,1,1,202,1,29,7,710,1.949e-11,0.0014,0.4042052,0.0014,0.0014,0.1722098,0.0014,0.0251944,1.74e-05,1.503e-02,2.129e-09
1,1,497,7,1,202,1,7,710,1.949e-11,0.0014,0.0014,0.4229008,0.006498799999999999,0.0014,0.1722098,0.0014,1.74e-05,1.478e-02,2.181e-09
1,512,53,1,141,1,1,7,710,1.949e-11,0.0014,0.4356478,0.0455896,0.0014,0.120372,0.0014,0.0014,1.74e-05,1.475e-02,2.144e-09
1,22,612,1,1,1,72,7,710,1.949e-11,0.0014,0.0192458,0.5206278,0.0014,0.0014,0.0014,0.0617358,1.74e-05,1.369e-02,2.234e-09
33,1,1,402,1,1,271,7,710,1.949e-11,0.0285936,0.0014,0.0014,0.34216979999999997,0.0014,0.0014,0.230846,1.74e-05,1.465e-02,2.185e-09
1,52,130,1,524,1,1,7,710,1.949e-11,0.0014,0.044739799999999996,0.1110242,0.0014,0.4458454,0.0014,0.0014,1.74e-05,1.325e-02,2.212e-09
1,179,1,5,1,1,522,7,710,1.949e-11,0.0014,0.1526644,0.0014,0.0047992,0.0014,0.0014,0.4441458,1.74e-05,1.298e-02,2.256e-09
1,1,28,562,1,116,1,7,710,1.949e-11,0.0014,0.0014,0.0243446,0.4781378,0.0014,0.099127,0.0014,1.74e-05,1.407e-02,2.243e-09
1,404,296,1,1,6,1,7,710,1.949e-11,0.0014,0.3438694,0.252091,0.0014,0.0014,0.0056489999999999995,0.0014,1.74e-05,1.506e-02,2.109e-09
