Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
11,1,3,17,66,61,1,7,160,1.949e-11,0.009898,0.0014,0.0030995999999999997,0.014996800000000001,0.056637,0.052388,0.0014,1.74e-05,4.990e-03,6.096e-09
80,1,4,19,1,9,46,7,160,1.949e-11,0.06853420000000002,0.0014,0.0039494,0.0166964,0.0014,0.0081984,0.039640999999999996,1.74e-05,4.946e-03,5.957e-09
6,3,1,100,43,1,6,7,160,1.949e-11,0.0056489999999999995,0.0030995999999999997,0.0014,0.08553020000000001,0.0370916,0.0014,0.0056489999999999995,1.74e-05,4.984e-03,6.032e-09
1,1,9,45,1,88,15,7,160,1.949e-11,0.0014,0.0014,0.0081984,0.0387912,0.0014,0.0753326,0.0132972,1.74e-05,4.972e-03,6.097e-09
1,70,1,27,8,52,1,7,160,1.949e-11,0.0014,0.060036200000000005,0.0014,0.0234948,0.007348599999999999,0.044739799999999996,0.0014,1.74e-05,4.970e-03,6.041e-09
67,1,4,34,25,28,1,7,160,1.949e-11,0.0574868,0.0014,0.0039494,0.029443399999999998,0.021795199999999997,0.0243446,0.0014,1.74e-05,4.982e-03,6.023e-09
107,1,1,1,3,17,30,7,160,1.949e-11,0.09147880000000001,0.0014,0.0014,0.0014,0.0030995999999999997,0.014996800000000001,0.0260442,1.74e-05,4.947e-03,5.990e-09
8,106,1,13,27,1,4,7,160,1.949e-11,0.007348599999999999,0.090629,0.0014,0.0115976,0.0234948,0.0014,0.0039494,1.74e-05,4.974e-03,5.992e-09
2,1,24,19,1,87,26,7,160,1.949e-11,0.0022498,0.0014,0.0209454,0.0166964,0.0014,0.07448280000000002,0.022645,1.74e-05,4.975e-03,6.115e-09
66,1,30,21,1,39,2,7,160,1.949e-11,0.056637,0.0014,0.0260442,0.018396,0.0014,0.0336924,0.0022498,1.74e-05,4.967e-03,6.019e-09
52,88,1,10,7,1,1,7,160,1.949e-11,0.044739799999999996,0.0753326,0.0014,0.0090482,0.006498799999999999,0.0014,0.0014,1.74e-05,4.964e-03,5.963e-09
4,1,18,39,29,68,1,7,160,1.949e-11,0.0039494,0.0014,0.015846600000000002,0.0336924,0.0251944,0.058336599999999995,0.0014,1.74e-05,4.979e-03,6.071e-09
57,23,1,1,1,17,60,7,160,1.949e-11,0.0489888,0.020095599999999998,0.0014,0.0014,0.0014,0.014996800000000001,0.0515382,1.74e-05,4.944e-03,6.052e-09
